Location,male_median_salary,female_median_salary,STATE,gender_pay_gap
St Marys - North St Marys,36595,27768,NSW,24.120781527531083
Homebush Bay - Silverwater,47012,32958,NSW,29.894495022547435
Berala,28978,23000,NSW,20.62944302574367
Carlingford,46858,29430,NSW,37.19322207520594
Ermington - Rydalmere,47775,31105,NSW,34.89272632129775
Oatlands - Dundas Valley,41579,31057,NSW,25.306043916400107
Guildford - South Granville,29016,23164,NSW,20.168183071408876
Yennora Industrial,23546,17000,NSW,27.800900365242505
North Rocks,55000,35151,NSW,36.089090909090906
Northmead,44295,34280,NSW,22.609775369680552
Toongabbie - Constitution Hill,39663,33245,NSW,16.181327685752464
Winston Hills,59162,38671,NSW,34.63540786315541
Wentworthville - Westmead,42930,29218,NSW,31.94036804099697
Pennant Hills - Cheltenham,56937,34150,NSW,40.02142719145723
Hunters Hill - Woolwich,54788,34192,NSW,37.59217346864277
Macquarie Park - Marsfield,40405,28286,NSW,29.993812646949635
West Ryde - Meadowbank,47189,32916,NSW,30.246455741804233
Ryde,47979,33695,NSW,29.771358302590716
Ashcroft - Busby - Miller,30863,23734,NSW,23.09885623562194
Cobbitty - Leppington,52243,34591,NSW,33.7882587140861
Cecil Hills,44965,31348,NSW,30.283553875236297
Green Valley,40000,30431,NSW,23.9225
Hinchinbrook,42640,31366,NSW,26.43996247654784
West Hoxton - Middleton Grange,45843,34632,NSW,24.455205811138015
Bonnyrigg Heights - Bonnyrigg,38665,27240,NSW,29.54868744342429
Edensor Park,41278,29997,NSW,27.32932797131644
Fairfield,31264,25941,NSW,17.025972364380756
Fairfield - West,31889,25329,NSW,20.57135689422685
Casula,41079,30881,NSW,24.825336546654007
Chipping Norton - Moorebank,49813,36133,NSW,27.46271053740991
Holsworthy - Wattle Grove,59921,37228,NSW,37.87153084895112
Lurnea - Cartwright,34400,24968,NSW,27.41860465116279
Warwick Farm,29989,26155,NSW,12.784687718830238
Gymea - Grays Point,59487,34524,NSW,41.9637904079883
Miranda - Yowie Bay,51032,33317,NSW,34.713513089825994
Sylvania - Taren Point,49970,31669,NSW,36.62397438463078
Caringbah South,58590,32853,NSW,43.927291346646186
Heathcote - Waterfall,61597,32794,NSW,46.76039417504099
Loftus - Yarrawarrah,60802,35657,NSW,41.35554751488438
Woronora Heights,59024,33610,NSW,43.05706153429114
Victoria,39240,25939,VIC,33.896534148827726
Alfredton,43940,26198,VIC,40.37778789258079
Ballarat - South,33507,23427,VIC,30.083266183185604
Buninyong,42472,27468,VIC,35.32680354115653
Delacombe,43613,25140,VIC,42.35663678261069
Wendouree - Miners Rest,38623,23610,VIC,38.87062113248582
Bacchus Marsh Region,48281,29319,VIC,39.27424866924877
Daylesford,35299,21104,VIC,40.21360378480977
Avoca,23844,18277,VIC,23.347592685790975
